organization_name,address,lat,lon,hours,phone,requires_id,harm_reduction,bypass_pathway,intake_preparation
Daily Bread Food Bank,"191 New Toronto St, Etobicoke",43.6047,-79.5193,Mon-Sat 9AM-4PM,416-203-0050,False,True,Open to all. No referral needed.,Bring a bag. First visit requires registration with address proof or verbal address.
Scott Mission,"502 Spadina Ave, Toronto",43.6538,-79.4004,Daily 7AM-7PM,416-923-8872,False,True,Full meals served daily. No ID needed.,Arrive early — meal line starts at noon. Dinner at 6 PM.
The Meeting Place,"80 Centre Ave, Toronto",43.6567,-79.388,Mon-Fri 9AM-4PM,416-598-2283,False,True,Hot meals Mon/Wed/Fri. Food hampers available.,Drop-in. No appointment needed.
Yonge Street Mission,"306 Gerrard St E, Toronto",43.6606,-79.3679,Daily 7:30AM-8PM,416-929-9614,False,True,Hot breakfast daily. No intake form for meals.,"Meals served at 7:30 AM, noon, and 6 PM."
Mustard Seed,"488 Bloor St W, Toronto",43.666,-79.4123,Mon-Fri 8AM-5PM,416-960-4951,False,True,Hot lunch daily. Coffee and snacks available anytime.,Walk in. Peer support also available.
Covenant House,"20 Gerrard St E, Toronto",43.6564,-79.3831,Daily 9AM-5PM,416-598-4898,True,True,Meals for youth 16-24 only. ID may be requested for shelter.,Food without ID. Tell them your age.
Northwest Toronto Food Bank,"2 Thorncliffe Park Dr, East York",43.7094,-79.3472,Tue & Thu 10AM-2PM,416-421-6155,False,True,Food hampers for households. No appointment needed.,Bring a bag. First visit: verbal address okay.
St. Felix Centre,"25 Augusta Ave, Toronto",43.6527,-79.4018,Mon-Fri 9AM-5PM,416-203-1600,False,True,Hot lunch daily. Priority to housed clients but open to all.,Lunch served 12:30-1:30 PM. Drop-in welcome.
Riverdale Food Bank,"627 Main St, Toronto",43.6882,-79.3029,Mon & Wed 10AM-1PM,416-461-3136,False,True,"Fresh produce and hampers. First come, first served.",No ID needed. Bring reusable bags.
North York Harvest Food Bank,"116 Industry St, North York",43.7034,-79.4461,Mon-Fri 9AM-4PM,416-635-7771,False,True,Large distribution hub. Agencies welcome too.,Call ahead to confirm hours. Large hampers available.
Scarborough Food Bank,"2066 Eglinton Ave E, Scarborough",43.7289,-79.2791,Mon-Fri 9AM-3PM,416-431-0067,False,True,Community food bank serving East Toronto and Scarborough.,No ID required. Families and singles welcome.
Rexdale Community Hub,"21 Panorama Ct, Rexdale",43.7326,-79.576,Wed 11AM-2PM,416-741-6800,False,True,Community meal and food bank in Rexdale.,Open to all community members.
Parkdale Community Food Bank,"1499 Queen St W, Toronto",43.6393,-79.4361,Mon/Wed/Fri 10AM-1PM,416-531-7570,False,True,Drop-in food bank. No ID needed.,Walk in during hours. Hampers available weekly per household.
Albion Neighbourhood Services,"1263 Albion Rd, Etobicoke",43.7378,-79.5519,Mon-Fri 9AM-4PM,416-745-5280,False,True,Food bank and community meals.,Register on first visit. Subsequent visits faster.
Dorset Park Community Hub,"1911 Kennedy Rd, Scarborough",43.756,-79.2761,Tue & Thu 10AM-2PM,416-396-4444,False,True,Community food programs in Scarborough.,No ID needed. All community members welcome.
Ve'ahavta Mobile Food Pantry,Downtown Core,43.6532,-79.3832,Mon & Thu varies,416-630-5254,False,True,Mobile food distribution at shelters and encampments.,Comes to you. Check their social media for locations.
Good Shepherd Ministries,"412 Queen St E, Toronto",43.6516,-79.3638,Daily 7AM-8PM,416-869-3619,False,True,Hot meals three times daily. Drop-in dining room.,"Meals at 7 AM, noon, 6 PM. No ID needed."
Evangel Hall Mission,"552 Adelaide St W, Toronto",43.644,-79.4019,Daily 8AM-5PM,416-979-0597,False,True,Hot breakfast and lunch. Life skills programs.,Morning service at 8 AM includes breakfast.
Gateway Community Church,"1940 Eglinton Ave W, Toronto",43.6978,-79.4657,Sat 10AM-1PM,416-654-3399,False,True,Saturday community lunch. All welcome.,No ID needed. Arrive before noon for full meal.
Friends of Ruby,"38 Isabella St, Toronto",43.6693,-79.3895,Mon-Fri 9AM-5PM,416-921-7629,False,True,Meals and support for LGBTQ+ youth.,Safe space for queer and trans youth. No ID needed.
